지점,년도,벚나무,눈
,,개화,시작
대전,1973,1973-04-09,1973-11-17
대전,1974,1974-04-09,1974-11-21
대전,1975,1975-04-16,1975-12-06
대전,1976,결측,1976-11-14
대전,1977,1977-04-13,1977-11-22
대전,1978,1978-04-10,1978-11-27
대전,1979,1979-04-03,1979-11-12
대전,1980,1980-04-09,1980-10-25
대전,1981,1981-04-08,1981-10-23
대전,1982,1982-04-03,1982-11-24
대전,1983,1983-04-05,1983-11-16
대전,1984,1984-04-14,1984-12-18
대전,1985,1985-04-09,1985-11-11
대전,1986,1986-04-07,1986-11-30
대전,1987,1987-04-06,1987-12-01
대전,1988,1988-04-08,1988-11-10
대전,1989,1989-04-02,1989-11-18
대전,1990,1990-03-30,1990-11-10
대전,1991,1991-04-08,1991-11-11
대전,1992,1992-03-30,1992-11-10
대전,1993,1993-04-02,1993-11-21
대전,1994,1994-04-05,1994-12-04
대전,1995,1995-04-05,1995-11-01
대전,1996,1996-04-11,1996-11-29
대전,1997,1997-04-04,1997-10-30
대전,1998,1998-03-31,1998-11-17
대전,1999,1999-04-06,1999-11-26
대전,2000,2000-04-05,2000-12-13
대전,2001,2001-04-05,2001-11-26
대전,2002,2002-03-30,2002-10-27
대전,2003,2003-04-01,2003-11-21
대전,2004,2004-03-30,2004-11-26
대전,2005,2005-04-08,2005-11-21
대전,2006,2006-04-08,2006-11-06
대전,2007,2007-03-31,2007-11-21
대전,2008,2008-04-03,2008-11-18
대전,2009,2009-03-30,2009-11-15
대전,2010,2010-04-16,2010-11-09
대전,2011,2011-04-12,2011-11-23
대전,2012,2012-04-11,2012-11-14
대전,2013,2013-04-03,2013-11-18
대전,2014,2014-03-28,2014-11-12
대전,2015,2015-03-29,2015-11-26
대전,2016,2016-03-31,2016-11-26
대전,2017,2017-04-03,2017-11-23
대전,2018,2018-03-31,2018-12-06
대전,2019,2019-03-29,2019-11-19
대전,2020,2020-03-24,2020-12-05
대전,2021,2021-03-23,2021-11-22
대전,2022,2022-03-31,2022-11-30
대전,2023,2023-03-22,2023-11-17
대전,2024,2024-03-30,2024-11-27
대전,2025,2025-04-01,2025-12-03
대전,2026,2026-03-29,없음
